x_m,y_m
-1.599824403610382462e+06,-4.459468177648014971e+05
-1.598446899207692128e+06,-4.469307494810073986e+05
-1.598053326521208975e+06,-4.482098607120756642e+05
-1.597462967491486343e+06,-4.491937924282820313e+05
-1.596774215290145017e+06,-4.494889719431447447e+05
-1.595888676745555131e+06,-4.496857582863850403e+05
-1.595003138200969435e+06,-4.510632626890740357e+05
-1.594511172342866659e+06,-4.522439807485218626e+05
-1.594019206484762952e+06,-4.532279124647280551e+05
-1.593232061111799907e+06,-4.534246988079696312e+05
-1.592149736223974265e+06,-4.535230919795911177e+05
-1.592149736223971006e+06,-4.526375534350041999e+05
-1.592444915738834534e+06,-4.510632626890747342e+05
-1.592346522567212116e+06,-4.499809378012471134e+05
-1.593724026969903149e+06,-4.492921855999031104e+05
-1.596675822118520271e+06,-4.469307494810071657e+05
-1.597069394805003656e+06,-4.459468177648010897e+05
-1.597659753834727453e+06,-4.442741338472503703e+05
-1.598840471894176444e+06,-4.437821679891473614e+05
-1.599787336945967516e+06,-4.440662270150563563e+05
-1.599439868206750369e+06,-4.434799882243902539e+05
-1.599439582196898991e+06,-4.431424316205175128e+05
-1.599763233896201244e+06,-4.430608165861366433e+05
-1.600789906999151688e+06,-4.434797203783652512e+05
-1.601690145843102830e+06,-4.434797340955012478e+05
-1.603040275444629602e+06,-4.394298575914945686e+05
-1.604389659946793923e+06,-4.367298240977434325e+05
-1.604389695554425474e+06,-4.358299901058481773e+05
-1.603939682198729133e+06,-4.353798083086146507e+05
-1.603940017645996995e+06,-4.344797390014260891e+05
-1.603489768242125399e+06,-4.340295982727304799e+05
-1.603490090316654649e+06,-4.335796444256147952e+05
-1.598990193686921615e+06,-4.290798657336590113e+05
-1.597189413486793404e+06,-4.288744169423732674e+05
-1.596523964475686196e+06,-4.286114039300859440e+05
-1.593262921927988529e+06,-4.265443236247466411e+05
-1.592239999891951215e+06,-4.259295975049388944e+05
-1.590181168391366024e+06,-4.244752416050031316e+05
-1.589582728535664501e+06,-4.239819522138171014e+05
-1.589089520778315607e+06,-4.236795316914839204e+05
-1.586839730233036913e+06,-4.214297928828899749e+05
-1.585939887262991862e+06,-4.209796667079328909e+05
-1.584139619603681378e+06,-4.191797596271713846e+05
-1.582340305157812079e+06,-4.137798893136752304e+05
-1.580989624369259924e+06,-4.115298422133409185e+05
-1.580089551231354941e+06,-4.092796544771784102e+05
-1.579190054908218794e+06,-4.083798444987646653e+05
-1.578739943665208062e+06,-4.065799827768591931e+05
-1.578289462813197169e+06,-4.061296272218243103e+05
-1.578289439919775119e+06,-4.052294005279786652e+05
-1.578739670831002528e+06,-4.047799170413108659e+05
-1.578739867445043987e+06,-4.034301707173422328e+05
-1.579639657326518558e+06,-4.016296925231356872e+05
-1.579189732196911005e+06,-4.011799487342082430e+05
-1.578289928415055154e+06,-4.011800162435437087e+05
-1.577389603557729162e+06,-3.998297126375114312e+05
-1.577389668939757394e+06,-3.993800026575905504e+05
-1.579449761734865373e+06,-3.969246155681204400e+05
-1.580199725760425441e+06,-3.966746525721951039e+05
